milage,model_year,price
51000,2013,10300
34742,2021,38005
22372,2022,54598
88900,2015,15500
9835,2021,34999
136397,2016,14798
84000,2017,31000
242000,2001,7300
23436,2021,41927
34000,2020,69950
27608,2021,73897
22770,2019,184606
12500,2021,53500
18196,2022,62000
15903,2020,47998
79800,2013,29990
1685,2021,250000
61074,2013,16800
74000,2003,11000
35250,2018,68750
5400,2023,60000
133510,2000,4500
25990,2020,38598
2823,2023,58504
52000,2021,61000
11650,2022,32300
96541,2016,13998
17500,2021,59995
69000,2015,25700
81880,2017,21375
28800,2018,48000
300183,2006,10900
35035,2020,24998
171000,2011,5999
118700,2016,46900
119000,2017,15900
44261,2018,33598
125575,2012,8999
16200,2007,8200
70000,2014,20000
20200,2011,79950
2978,2023,45498
189719,2007,14000
9949,2019,75798
3552,2022,119999
54000,2012,36880
51351,2021,43147
24280,2017,29000
89148,2016,17500
73043,2017,30990
60000,2017,52500
73549,2016,20848
110900,2005,19500
39000,2013,73000
120000,2016,19800
134602,2009,7500
1094,2023,30999
83500,2010,6500
37060,2014,28500
97700,2010,10995
40000,2018,42000
8940,2018,144900
186000,2014,10000
13180,2021,23998
104000,2014,21000
8500,2023,67900
19069,2019,69998
6090,2023,46900
4900,2022,99000
47523,2019,31000
43000,2006,19995
14684,2017,130000
57800,2019,55999
952,2023,49950
21240,2019,59950
59338,2019,42499
255,2023,359991
23230,2019,44999
48000,2017,30000
41059,2005,11100
21240,2020,37998
11500,2015,72000
9950,2021,53950
633,2023,47999
66000,2015,15900
59715,2014,45000
85252,2012,18500
17900,2020,80000
25500,2016,55000
210703,2004,2300
3800,2023,34000
36602,2022,31995
2800,2023,92000
2165,2021,279950
33000,2018,29900
76009,2016,24950
31349,2020,39366
48000,2015,32900
91420,2005,8900
124756,2003,4995
2415,2023,104900
116226,2012,7900
37869,2020,75950
41500,2019,86000
87001,2013,17995
4451,2022,55655
27158,2020,39998
139804,2014,14500
27300,2022,47500
36812,2014,27000
144000,2016,18000
44500,2019,28900
10917,2021,73998
8332,2005,47350
51247,2020,47698
69000,2016,36500
147834,2021,32662
105000,2013,6600
92203,2011,9995
15600,2010,69500
104700,2018,30775
72348,2010,9995
2500,2023,94000
13177,2022,44798
96000,2016,23000
93009,2011,22495
52750,2016,28998
25361,2020,49998
98527,2015,9995
1300,2023,86900
87305,2017,9000
72922,2012,25999
41000,2015,30000
42125,2021,27899
62000,2016,40000
153843,2006,9950
35248,2019,53998
194454,2015,9888
21000,2021,89999
18494,2013,86900
218000,2006,12990
67800,2021,36500
79000,2014,42999
24906,2022,63998
66840,2006,12000
86000,2013,32000
654,2023,34599
75000,2005,12500
84000,2015,22800
52500,2017,39999
120000,2011,7500
18665,2020,35645
19987,2016,149900
36486,2017,23950
162100,2013,12500
13079,2022,47000
28377,2022,36999
32744,2020,24000
54000,2012,26000
202055,2008,8500
65000,2019,65000
9686,2022,30990
49620,2010,10499
16010,2020,114000
820,2023,51998
68000,2021,36499
27352,2022,27785
129000,2012,7000
106731,2014,30000
34672,2019,45500
55900,2010,8950
3158,2023,128900
82000,2015,17000
4785,2023,42850
20497,2021,22999
177600,2013,7100
78568,2014,15500
95000,2018,43000
4529,2018,417500
25240,2021,39951
88300,2011,11500
98000,2013,27499
20675,2018,76000
95000,2008,10900
107000,2010,6250
60000,2016,24700
33000,2012,34999
500,2023,60000
108500,2016,63500
37800,2017,149500
74422,2018,44798
55621,2019,34562
46707,2021,32541
26500,2022,65900
10001,2020,47214
19050,2019,76900
52000,2020,35800
65000,2014,54999
140000,2004,6730
75600,2018,14950
117292,2015,12000
1897,2005,429998
26000,2017,33600
2071,2022,99950
15629,2014,61900
15020,2008,18500
11322,2022,119900
50361,2016,65998
115000,2013,36000
28500,2005,63500
51700,2018,32000
148949,2008,3900
39300,2018,31750
82323,2008,28500
3574,2023,34998
109357,2001,12749
46000,2004,18853
123112,2007,104999
37100,2007,16900
89000,2016,14500
1240,2022,53900
67073,2019,47999
28700,2015,24900
8200,2023,93999
41000,2018,108900
98995,2018,34998
123815,2012,5000
6330,2011,1950995
61341,2020,34084
96473,2016,15599
66107,2017,31331
114287,2008,9900
75000,2015,14500
45800,2016,36800
12172,2021,35999
70582,2016,35000
33088,2014,49750
1850,2021,49000
94155,2008,10500
25000,2016,17999
99500,2016,27995
158564,2009,8750
20000,2023,78499
46711,2018,20850
46496,2017,41000
19800,2019,53800
175000,2008,37900
61500,2016,63500
49750,2016,65000
38800,2007,100000
83765,2011,8995
7388,2023,105500
278,2023,359991
1966,2022,75900
50648,2021,23995
13692,2021,257000
60058,2013,15000
54423,2017,33950
24001,2022,47498
14735,2022,50998
2425,2023,42998
2050,2022,94999
64855,2019,46995
16238,2022,62479
18051,2022,47995
36524,2004,14900
14896,2022,39998
14048,2022,29999
224000,2003,3900
80581,2014,26000
81400,2007,11000
6700,2019,63000
143000,2015,22500
87842,2017,18688
116451,2010,16500
53677,2019,27900
12000,2021,77500
20034,2019,43998
32000,2020,68000
70312,2014,19995
8794,2022,54000
156000,2010,5900
25568,2020,134999
67100,2018,34250
52000,2014,37000
137200,2011,12000
36000,2018,32000
15500,2023,24500
10906,2020,96998
49814,2019,26545
846,2015,86999
67039,2021,34645
2636,2023,28535
50166,2018,43550
37375,2017,27500
21600,2021,31000
9500,2019,69000
143095,2005,16000
80000,2002,8500
3000,2021,275000
5856,2007,45000
2958,2013,488880
28927,2022,74900
4102,2022,144664
14442,2021,38500
64000,2005,12995
154000,2004,10000
54000,2015,27000
232492,2007,6000
25721,2020,52645
20927,2020,35998
2353,2021,159500
9325,2022,33610
61001,2020,28616
71962,2018,46900
5800,2023,29990
40080,2016,28499
57000,2020,36500
7624,2022,31985
122000,2004,9999
459,2023,36998
62500,2016,40500
72000,2013,17500
8375,2020,69900
40000,2020,53000
77000,2014,30000
19593,2019,159998
35902,2020,22966
800,2013,9800
2600,2023,239995
6204,2023,79998
69185,2020,37405
45000,2015,41900
37426,2020,39998
137000,2011,8500
85000,2016,18500
4000,2023,73900
4648,2023,47598
52100,2018,38000
50100,2014,10795
41000,2020,32400
70968,2021,34000
26600,2015,53000
15443,2022,84500
95000,2018,18000
94000,2005,19500
45076,2020,57998
110000,2014,11000
49083,2016,21590
63500,2017,27500
21500,2009,18000
324,2023,199998
68166,2019,20818
53607,2018,31853
16813,2019,45900
18200,2020,29500
51000,2015,102000
16400,2018,42800
7000,2022,75500
8497,2022,52900
68000,2016,20000
2523,2022,288900
83000,2007,8995
25000,2018,50000
15689,2021,97952
125450,2014,17200
9822,2023,50998
144000,2008,22000
30900,2020,27654
2492,2021,41598
126760,2015,14000
100680,2017,20500
90400,2001,4495
26895,2022,29800
20500,2018,67000
134000,2011,10500
84352,2015,10000
19000,2022,71000
115550,2015,17500
191775,2009,9750
923,2023,46998
124630,2017,75000
17000,2019,95000
73500,2018,32000
73837,2019,36340
29500,2014,40999
13613,2021,29798
1185,2023,120990
143250,2015,11500
46508,2006,11500
18651,2015,59549
36438,2019,39998
46628,2014,15363
5700,2023,95000
57550,2015,29995
48600,2017,60999
119000,2020,18000
36500,2020,72000
121250,2010,13250
2437,2023,78350
110380,2018,22000
149000,2008,3850
14684,2021,37995
39000,2017,39000
65212,2019,42995
41856,2020,91500
655,2023,94500
54000,2019,33000
26500,2019,53900
38356,2020,36598
21487,2020,35345
99000,2007,22999
35597,2019,47756
130307,2005,9950
178000,2010,7600
160265,2003,3000
8700,2020,185000
1000,2016,36000
29800,2022,58900
49750,2017,27995
121000,2002,6348
140000,2005,2000
66770,2018,21500
61549,2016,19998
38100,2016,21000
138071,2010,5000
40000,2019,72000
41545,2022,71998
47850,2019,127899
128000,2014,11000
48156,2019,40368
4700,2021,99900
39071,2017,67900
53500,2017,33999
11025,2007,47500
44000,2021,73000
11000,2022,27900
103000,2012,16000
456,2024,128995
64000,2018,37300
108000,2017,25999
37045,2018,26600
5433,2023,95998
28744,2019,50998
65800,2015,44950
850,2021,314900
33012,2019,38000
107818,2011,11400
79500,2016,19000
20000,2015,124990
37000,2018,63997
11945,2022,38998
131800,2005,5800
146000,2008,8995
29000,2010,29000
141209,2004,5700
85253,2016,19995
87009,2015,17800
4348,2023,105900
158000,2016,19780
10500,2020,36000
45843,2018,37000
15198,2021,31621
220000,2001,5500
58000,2017,51500
30424,2020,44998
